ticker,source_file,event_date,eps_estimate,eps_actual,price_before_er_release,price_open_on_er_release,price_after_er_release,price_high_after_er_release,price_low_after_er_release,eps_surprise_pct
A,A.xlsx,2016-02-16,0.43,0.46,36.22,36.72,37.08,37.17,36.4,6.976744186046519
A,A.xlsx,2016-05-16,0.39,0.44,42.62,42.61,42.94,43.07,42.5,12.82051282051282
A,A.xlsx,2016-08-17,0.47,0.49,48.28,48.63,48.43,48.63,48.08,4.255319148936175
A,A.xlsx,2016-11-15,0.52,0.59,45.33,45.33,45.4,46.0,44.95,13.46153846153845
A,A.xlsx,2017-02-14,0.49,0.53,50.52,50.24,50.39,50.68,50.09,8.163265306122456
A,A.xlsx,2017-05-22,0.48,0.58,56.13,56.52,56.08,56.52,55.85,20.83333333333333
A,A.xlsx,2017-08-15,0.52,0.59,59.62,59.7,59.38,59.88,59.11,13.46153846153845
A,A.xlsx,2017-11-20,0.62,0.67,68.79,69.28,69.96,70.23,68.95,8.064516129032265
A,A.xlsx,2018-02-14,0.58,0.66,68.34,67.8,69.7,69.89,67.62,13.79310344827588
A,A.xlsx,2018-05-14,0.64,0.65,69.45,69.73,69.21,70.45,69.0,1.562500000000001
A,A.xlsx,2018-08-14,0.63,0.67,65.94,66.05,66.75,67.26,66.05,6.349206349206354
A,A.xlsx,2018-11-19,0.74,0.81,64.99,64.67,62.61,64.96,62.4,9.459459459459469
A,A.xlsx,2019-02-20,0.73,0.76,77.52,77.53,78.56,78.8,77.33,4.109589041095894
A,A.xlsx,2019-05-14,0.72,0.71,73.84,74.43,76.01,76.67,74.3,-1.38888888888889
A,A.xlsx,2019-08-14,0.72,0.76,67.64,66.58,65.59,67.02,65.35,5.555555555555561
A,A.xlsx,2019-11-25,0.86,0.89,79.12,79.45,80.26,80.46,79.3,3.488372093023259
A,A.xlsx,2020-02-18,0.81,0.81,85.82,85.66,84.79,86.08,84.53,0.0
A,A.xlsx,2020-05-21,0.61,0.71,81.71,81.72,80.75,82.19,80.46,16.39344262295081
A,A.xlsx,2020-08-18,0.67,0.78,97.51,97.71,97.86,98.71,97.11,16.41791044776119
A,A.xlsx,2020-11-23,0.94,0.98,110.89,111.4,112.21,112.42,109.56,4.255319148936175
